zip,yr_id,name,households
91910,2022,"$30,000 to $44,999",2956
91910,2022,"$45,000 to $59,999",2185
91910,2022,"$60,000 to $74,999",2232
91910,2022,"$75,000 to $99,999",3616
91910,2022,"$100,000 to $124,999",2411
91910,2022,"$125,000 to $149,999",2445
91910,2022,"$150,000 to $199,999",2338
91910,2022,"$200,000 or more",3364
91911,2020,"Less than $15,000",2053
91911,2020,"$15,000 to $29,999",2703
91911,2020,"$30,000 to $44,999",2602
91911,2020,"$45,000 to $59,999",2962
91911,2020,"$60,000 to $74,999",2350
91911,2020,"$75,000 to $99,999",3163
91911,2020,"$100,000 to $124,999",3458
91911,2020,"$125,000 to $149,999",1744
91911,2020,"$150,000 to $199,999",2333
91911,2020,"$200,000 or more",1479
91911,2021,"Less than $15,000",1807
91911,2021,"$15,000 to $29,999",2751
91911,2021,"$30,000 to $44,999",2725
91911,2021,"$45,000 to $59,999",2889
91911,2021,"$60,000 to $74,999",2415
91911,2021,"$75,000 to $99,999",3150
91911,2021,"$100,000 to $124,999",3164
91911,2021,"$125,000 to $149,999",2192
91911,2021,"$150,000 to $199,999",2463
91911,2021,"$200,000 or more",1487
91911,2022,"Less than $15,000",1347
91911,2022,"$15,000 to $29,999",2825
91911,2022,"$30,000 to $44,999",2925
91911,2022,"$45,000 to $59,999",3353
91911,2022,"$60,000 to $74,999",2369
91911,2022,"$75,000 to $99,999",3104
91911,2022,"$100,000 to $124,999",2983
91911,2022,"$125,000 to $149,999",2095
91911,2022,"$150,000 to $199,999",2550
91911,2022,"$200,000 or more",1525
91913,2020,"Less than $15,000",559
91913,2020,"$15,000 to $29,999",392
91913,2020,"$30,000 to $44,999",829
91913,2020,"$45,000 to $59,999",833
91913,2020,"$60,000 to $74,999",856
91913,2020,"$75,000 to $99,999",1896
91913,2020,"$100,000 to $124,999",2190
91913,2020,"$125,000 to $149,999",2277
91913,2020,"$150,000 to $199,999",2988
91913,2020,"$200,000 or more",3133
91913,2021,"Less than $15,000",666
91913,2021,"$15,000 to $29,999",563
91913,2021,"$30,000 to $44,999",835
91913,2021,"$45,000 to $59,999",490
91913,2021,"$60,000 to $74,999",1412
91913,2021,"$75,000 to $99,999",1923
91913,2021,"$100,000 to $124,999",2573
91913,2021,"$125,000 to $149,999",1886
91913,2021,"$150,000 to $199,999",3258
91913,2021,"$200,000 or more",3450
91913,2022,"Less than $15,000",500
91913,2022,"$15,000 to $29,999",603
91913,2022,"$30,000 to $44,999",915
91913,2022,"$45,000 to $59,999",603
91913,2022,"$60,000 to $74,999",1421
91913,2022,"$75,000 to $99,999",1936
91913,2022,"$100,000 to $124,999",2492
91913,2022,"$125,000 to $149,999",1863
91913,2022,"$150,000 to $199,999",3451
91913,2022,"$200,000 or more",3609
91914,2020,"Less than $15,000",174
91914,2020,"$15,000 to $29,999",202
91914,2020,"$30,000 to $44,999",293
91914,2020,"$45,000 to $59,999",176
91914,2020,"$60,000 to $74,999",187
91914,2020,"$75,000 to $99,999",426
91914,2020,"$100,000 to $124,999",588
91914,2020,"$125,000 to $149,999",705
91914,2020,"$150,000 to $199,999",868
91914,2020,"$200,000 or more",1355
91914,2021,"Less than $15,000",168
91914,2021,"$15,000 to $29,999",206
91914,2021,"$30,000 to $44,999",240
91914,2021,"$45,000 to $59,999",169
91914,2021,"$60,000 to $74,999",273
91914,2021,"$75,000 to $99,999",316
91914,2021,"$100,000 to $124,999",576
91914,2021,"$125,000 to $149,999",532
91914,2021,"$150,000 to $199,999",783
91914,2021,"$200,000 or more",1762
91914,2022,"Less than $15,000",130
91914,2022,"$15,000 to $29,999",211
91914,2022,"$30,000 to $44,999",253
91914,2022,"$45,000 to $59,999",205
91914,2022,"$60,000 to $74,999",265
91914,2022,"$75,000 to $99,999",310
91914,2022,"$100,000 to $124,999",538
91914,2022,"$125,000 to $149,999",509
91914,2022,"$150,000 to $199,999",807
91914,2022,"$200,000 or more",1806
91915,2020,"Less than $15,000",149
91915,2020,"$15,000 to $29,999",453
91915,2020,"$30,000 to $44,999",356
91915,2020,"$45,000 to $59,999",332
91915,2020,"$60,000 to $74,999",547
91915,2020,"$75,000 to $99,999",1169
91915,2020,"$100,000 to $124,999",956
91915,2020,"$125,000 to $149,999",1461
91915,2020,"$150,000 to $199,999",1949
91915,2020,"$200,000 or more",2638
91915,2021,"Less than $15,000",265
91915,2021,"$15,000 to $29,999",611
91915,2021,"$30,000 to $44,999",492
91915,2021,"$45,000 to $59,999",118
91915,2021,"$60,000 to $74,999",632
91915,2021,"$75,000 to $99,999",1223
91915,2021,"$100,000 to $124,999",983
91915,2021,"$125,000 to $149,999",1992
91915,2021,"$150,000 to $199,999",1901
91915,2021,"$200,000 or more",2033
91915,2022,"Less than $15,000",191
91915,2022,"$15,000 to $29,999",642
91915,2022,"$30,000 to $44,999",548
91915,2022,"$45,000 to $59,999",135
91915,2022,"$60,000 to $74,999",639
91915,2022,"$75,000 to $99,999",1219
91915,2022,"$100,000 to $124,999",951
91915,2022,"$125,000 to $149,999",2000
91915,2022,"$150,000 to $199,999",1977
91915,2022,"$200,000 or more",2141
91916,2020,"Less than $15,000",14
91916,2020,"$15,000 to $29,999",58
91916,2020,"$30,000 to $44,999",58
91916,2020,"$45,000 to $59,999",33
91916,2020,"$60,000 to $74,999",70
91916,2020,"$75,000 to $99,999",111
91916,2020,"$100,000 to $124,999",125
91916,2020,"$125,000 to $149,999",39
91916,2020,"$150,000 to $199,999",96
91916,2020,"$200,000 or more",74
91916,2021,"Less than $15,000",22
91916,2021,"$15,000 to $29,999",37
91916,2021,"$30,000 to $44,999",109
91916,2021,"$45,000 to $59,999",49
91916,2021,"$60,000 to $74,999",58
